AIRLINE NAME	IATA DESIGNATOR	3 DIGIT CODE	ICAO CODE	COUNTRY / TERRITORY
Austrian	OS	257	AUA	Austria
Avianca	AV	134	AVA	Colombia
Avianca Costa Rica	LR	133	LRC	Costa Rica
Avianca Ecuador	2K	547	GLG	Ecuador
Avianca Peru	T0	530	TPU	Peru
Azerbaijan Airlines	J2	771	AHY	Azerbaijan
Azores Airlines	S4	331	RZO	Portugal
Azul Brazilian Airlines	AD	577	AZU	Brazil
Bahamasair	UP	111	BHS	Bahamas
Bamboo Airways	QH	926	BAV	Vietnam
Bangkok Airways	PG	829	BKP	Thailand
Batik Air	ID	938	BTK	Indonesia
Belavia Belarusian Airlines	B2	628	BRU	Belarus
Biman Bangladesh Airlines	BG	997	BBC	Bangladesh
Binter Canarias	NT	474	IBB	Spain
Blue Air	0B	475	BMS	Romania
Blue Panorama	BV	004	BPA	Italy
BoA Boliviana de Aviacion	OB	930	BOV	Bolivia
Braathens Regional Airways	TF	276	BRX	Sweden
British Airways	BA	125	BAW	United Kingdom
Brussels Airlines	SN	082	BEL	Belgium
Bulgaria Air	FB	623	LZB	Bulgaria
CAL Cargo Airlines	5C	700	ICL	Israel
Camair-Co	QC	040	CRC	Cameroon
Cambodia Angkor Air	K6	188	KHV	Cambodia
Capital Airlines	JD	898	CBJ	China (People's Republic of)
Cargojet Airways	W8	489	CJT	Canada
Cargolux	CV	172	CLX	Luxembourg
Caribbean Airlines	BW	106	BWA	Trinidad and Tobago
Carpatair	V3	021	KRP	Romania
Cathay Dragon	KA	043	HDA	Hong Kong SAR, China
Cathay Pacific	CX	160	CPA	Hong Kong SAR, China
Cayman Airways	KX	378	CAY	Cayman Islands
Cebu Pacific	5J	203	CEB	Philippines
China Airlines	CI	297	CAL	Chinese Taipei
China Cargo Airlines	CK	112	CKK	China (People's Republic of)
China Eastern	MU	781	CES	China (People's Republic of)
China Express Airlines	G5	987	HXA	China (People's Republic of)
China Postal Airlines	CF	804	CYZ	China (People's Republic of)
China Southern Airlines	CZ	784	CSN	China (People's Republic of)
CityJet	WX	689	BCY	Ireland
Comair	MN	161	CAW	South Africa
Condor	DE	881	CFG	Germany
Congo Airways	8Z	582	CGA	Congo, the Democratic Republic of the
COPA Airlines	CM	230	CMP	Panama
Corendon Airlines	XC	395	CAI	Turkey
Corsair International	SS	923	CRL	France
Croatia Airlines	OU	831	CTN	Croatia
Cubana	CU	136	CUB	Cuba
Cyprus Airways	CY	078	CYP	Cyprus
Czech Airlines	OK	064	CSA	Czech Republic
Delta Air Lines	DL	006	DAL	United States
DHL Air	D0	936	DHK	United Kingdom
DHL Aviation	ES*	155	DHX	Bahrain
Eastar Jet	ZE	839	ESR	Korea
Eastern Airways	T3	467	EZE	United Kingdom
Egyptair	MS	077	MSR	Egypt
EL AL	LY	114	ELY	Israel
Emirates	EK	176	UAE	United Arab Emirates
Ethiopian Airlines	ET	071	ETH	Ethiopia
Etihad Airways	EY	607	ETD	United Arab Emirates
EuroAtlantic Airways	YU	551	MMZ	Portugal
European Air Transport	QY	615	BCS	Germany
Eurowings	EW	104	EWG	Germany
EVA Air	BR	695	EVA	Chinese Taipei
Evelop Airlines	E9	783	EVE	Spain
FedEx Express	FX	023	FDX	United States
Fiji Airways	FJ	260	FJI	Fiji
Finnair	AY	105	FIN	Finland
flydubai	FZ	141	FDB	United Arab Emirates
FlyEgypt	FT	171	FEG	Egypt
Flynas	XY	593	KNE	Saudi Arabia
Freebird Airlines	FH	None	FHY	Turkey
Fuzhou Airlines	FU	666	FZA	China (People's Republic of)
Garuda Indonesia	GA	126	GIA	Indonesia
Georgian Airways	A9	606	TGZ	Georgia
GOL Linhas Aereas	G3	127	GLO	Brazil
Gulf Air	GF	072	GFA	Bahrain
GX Airlines	GX	872	CBG	China (People's Republic of)
Hahn Air	HR*	169	HHN	Germany
Hainan Airlines	HU	880	CHH	China (People's Republic of)
Hawaiian Airlines	HA	173	HAL	United States
Hebei Airlines	NS	836	HBH	China (People's Republic of)
Hi Fly	5K		HFY	Portugal
Hong Kong Air Cargo	RH	828	HKC	Hong Kong SAR, China
Hong Kong Airlines	HX	851	CRK	Hong Kong SAR, China
Hong Kong Express Airways	UO	128	HKE	Hong Kong SAR, China
IBERIA	IB	075	IBE	Spain
Icelandair	FI	108	ICE	Iceland
IndiGo	6E	312	IGO	India
Interjet	4O	837	AIJ	Mexico
Iran Air	IR	096	IRA	Iran, Islamic Republic of
Iran Airtour Airline	B9	491	IRB	Iran, Islamic Republic of
Iran Aseman Airlines	EP	815	IRC	Iran, Islamic Republic of
Israir	6H	818	ISR	Israel
Japan Airlines	JL	131	JAL	Japan
Jazeera Airways	J9	486	JZR	Kuwait
Jeju Air	7C	806	JJA	Korea
JetBlue	B6	279	JBU	United States
Jin Air	LJ	718	JNA	Korea
Jordan Aviation	R5	151	JAV	Jordan
Juneyao Airlines	HO	018	DKH	China (People's Republic of)
Kenya Airways	KQ	706	KQA	Kenya
KLM	KL	074	KLM	Netherlands
Korean Air	KE	180	KAL	Korea
Kunming Airlines	KY	833	KNA	China (People's Republic of)
Kuwait Airways	KU	229	KAC	Kuwait
LAM	TM	068	LAM	Mozambique
Lao Airlines	QV	627	LAO	Lao People's Democratic Republic
LATAM Airlines Argentina	4M	469	DSM	Argentina
LATAM Airlines Brasil	JJ	957	TAM	Brazil
LATAM Airlines Colombia	4C	035	ARE	Colombia
LATAM Airlines Ecuador	XL	462	LNE	Ecuador
LATAM Airlines Group	LA	045	LAN	Chile
LATAM Airlines Paraguay	PZ	692	LAP	Paraguay
LATAM Airlines Peru	LP	544	LPE	Peru
LATAM Cargo Brasil	M3	549	LTG	Brazil
LATAM Cargo Chile	UC	145	LCO	Chile
LIAT Airlines	LI	140	LIA	Antigua and Barbuda
Loong Air	GJ	891	CDC	China (People's Republic of)
LOT Polish Airlines	LO	080	LOT	Poland
Lucky Air	8L	859	LKE	China (People's Republic of)
Lufthansa	LH	220	DLH	Germany
Lufthansa Cargo	LH	020	GEC	Germany
Lufthansa CityLine	CL	683	CLH	Germany
Luxair	LG	149	LGL	Luxembourg
Mahan Air	W5	537	IRM	Iran, Islamic Republic of
Malaysia Airlines	MH	232	MAS	Malaysia
Malindo Air	OD	816	MXD	Malaysia
Mandarin Airlines	AE	803	MDA	Chinese Taipei
Martinair Cargo	MP	129	MPH	Netherlands
MasAir	M7	865	MAA	Mexico
Mauritania Airlines International	L6	495	MAI	Mauritania
MEA	ME	076	MEA	Lebanon
MIAT Mongolian Airlines	OM	289	MGL	Mongolia
Mistral Air	M4	408	MSA	Italy
MNG Airlines	MB	716	MNB	Turkey
Montenegro Airlines	YM	409	MGX	Montenegro
Myanmar Airways International	8M	599	MMA	Myanmar
NCA Nippon Cargo Airlines	KZ	933	NCA	Japan
Neos	NO	703	NOS	Italy
Nesma Airlines	NE	477	NMA	Egypt
Nile Air	NP	325	NIA	Egypt
Nordavia Regional Airlines	5N	316	AUL	Russian Federation
NordStar	Y7	476	TYA	Russian Federation
Nordwind Airlines	N4	216	NWS	Russian Federation
Nouvelair	BJ	796	LBT	Tunisia
Okay Airways	BK	866	OKA	China (People's Republic of)
Olympic Air	OA	050	OAL	Greece
Oman Air	WY	910	OMA	Oman
Onur Air	8Q	066	OHY	Turkey
Overland Airways	OF		OLA	Nigeria
Pegas Fly	EO	770	KAR	Russian Federation
Pegasus Airlines	PC	624	PGT	Turkey
PGA-Portugalia Airlines	NI	685	PGA	Portugal
Philippine Airlines	PR	079	PAL	Philippines
PIA Pakistan International Airlines	PK	214	PIA	Pakistan
Polar Air Cargo	PO	403	PAC	United States
Precision Air	PW	031	PRF	Tanzania, United Republic of
Privilege Style	P6	433	PVG	Spain
Qantas	QF	081	QFA	Australia
Qatar Airways	QR	157	QTR	Qatar
Qazaq Air	IQ		QAZ	Kazakhstan
Ravn Alaska	7H	808	ERH	United States
Rossiya Airlines	FV	195	SDM	Russian Federation
Royal Air Maroc	AT	147	RAM	Morocco
Royal Brunei	BI	672	RBA	Brunei Darussalam
Royal Jordanian	RJ	512	RJA	Jordan
Ruili Airlines	DR	299	RLH	China (People's Republic of)
RusLine	7R	362	RLU	Russian Federation
RwandAir	WB	459	RWD	Rwanda
S7 Airlines	S7	421	SBI	Russian Federation
Safair	FA*	640	SFR	South Africa
SAS	SK	117	SAS	Sweden
SATA Air Acores	SP	737	SAT	Portugal
Saudi Arabian Airlines	SV	065	SVA	Saudi Arabia
SaudiGulf Airlines	6S	571	SGQ	Saudi Arabia
SCAT Airlines	DV	655	VSV	Kazakhstan
SF Airlines	O3	921	CSS	China (People's Republic of)
Shandong Airlines	SC	324	CDG	China (People's Republic of)
Shanghai Airlines	FM	774	CSH	China (People's Republic of)
Shenzhen Airlines	ZH	479	CSZ	China (People's Republic of)
Sichuan Airlines	3U	876	CSC	China (People's Republic of)
Silk Way West Airlines	7L	501	AZG	Azerbaijan
SilkAir	MI	629	SLK	Singapore
Singapore Airlines	SQ	618	SIA	Singapore
SKY Airline	H2	605	SKU	Chile
Solomon Airlines	IE	193	SOL	Solomon Islands
Somon Air	SZ	413	SMR	Tajikistan
South African Airways	SA	083	SAA	South Africa
South African Express Airways	XZ		EXY	South Africa
SpiceJet	SG	775	SEJ	India
SriLankan Airlines	UL	603	ALK	Sri Lanka
SunExpress	XQ*	564	SXS	Turkey
Suparna Airlines	Y8	871	YZR	China (People's Republic of)
Surinam Airways	PY	192	SLM	Suriname
SWISS	LX	724	SWR	Switzerland
Syrianair	RB	070	SYR	Syrian Arab Republic
T'way Air	TW	722	TWB	Korea
TAAG Angola Airlines	DT	118	DTA	Angola
TACA	TA	202	TAI	El Salvador
TACV Cabo Verde Airlines	VR	696	TCV	Cape Verde
TAME	EQ	269	TAE	Ecuador
TAP Portugal	TP	047	TAP	Portugal
TAROM	RO	281	ROT	Romania
Tassili Airlines	SF	515	DTH	Algeria
Thai Airways International	TG	217	THA	Thailand
Thai Lion Air	SL	310	TLM	Thailand
Thai Smile	WE	909	THD	Thailand
Tianjin Airlines	GS	826	GCR	China (People's Republic of)
TUIfly	X3*	617	TUI	Germany
Tunisair	TU	199	TAR	Tunisia
Turkish Airlines	TK	235	THY	Turkey
Ukraine International Airlines	PS	566	AUI	Ukraine
UNI AIR	B7	525	UIA	Chinese Taipei
United Airlines	UA	016	UAL	United States
UPS Airlines	5X	406	UPS	United States
Ural Airlines	U6	262	SVR	Russian Federation
Urumqi Air	UQ	886	CUH	China (People's Republic of)
UTair	UT	298	UTA	Russian Federation
Uzbekistan Airways	HY	250	UZB	Uzbekistan
Vietjet	VJ	978	VJC	Vietnam
Vietnam Airlines	VN	738	HVN	Vietnam
Virgin Atlantic	VS	932	VIR	United Kingdom
Virgin Australia	VA	795	VOZ	Australia
Vistara	UK	228	VTI	India
Volaris	Y4	036	VOI	Mexico
Volotea	V7	712	VOE	Spain
Vueling	VY	030	VLG	Spain
Wamos Air	EB	460	PLM	Spain
West Air	PN	847	CHB	China (People's Republic of)
WestJet	WS	838	WJA	Canada
White coloured by you	WI	097	WHT	Portugal
Wideroe	WF	701	WIF	Norway
Wings of Lebanon	W7		WLB	Lebanon
Xiamen Airlines	MF	731	CXA	China (People's Republic of)
YTO Cargo Airlines	YG	860	HYT	China (People's Republic of)
